overall_rank,player,pos,pos_rank,team,bye,tier,delta_note,flag
1,Bijan Robinson,RB,RB1,ATL,11,Elite,,
2,Jahmyr Gibbs,RB,RB2,DET,6,Elite,,
3,Josh Allen,QB,QB1,BUF,7,Elite,,
4,Jaxon Smith-Njigba,WR,WR1,SEA,11,Elite,"Model WR1. 35.8 percent target share, best in our v2 features",
5,Ja'Marr Chase,WR,WR2,CIN,6,Elite,,
6,Puka Nacua,WR,WR3,LAR,11,Elite,,
7,Joe Burrow,QB,QB2,CIN,6,Elite,,
8,Christian McCaffrey,RB,RB3,SF,8,Elite,"Age 30 season. Only 16 of 240 RB1 finishes since 2006 came at 30 plus. Elite until proven otherwise, but the base rate is now against him",
9,Lamar Jackson,QB,QB3,BAL,13,Elite,,
10,Amon-Ra St. Brown,WR,WR4,DET,6,Tier 1,,
11,Jonathan Taylor,RB,RB4,IND,13,Tier 1,,
12,Ashton Jeanty,RB,RB5,LV,13,Tier 1,,
13,Drake Maye,QB,QB4,NE,11,Elite,,
14,Justin Jefferson,WR,WR5,MIN,6,Tier 1,"Model says WR13 after the 2025 QB carousel. Kyler Murray stabilizes the position. We rank the talent, note the model's skepticism",
15,Trevor Lawrence,QB,QB5,JAX,7,Tier 1,,Target
16,Derrick Henry,RB,RB6,BAL,13,Tier 1,,
17,CeeDee Lamb,WR,WR6,DAL,14,Tier 1,"Model says WR16 off the 2025 dip. We side with consensus here; the dip was QB and injury noise, not usage decay",
18,James Cook,RB,RB7,BUF,7,Tier 1,,
19,Jalen Hurts,QB,QB6,PHI,10,Tier 1,,
20,Emeka Egbuka,WR,WR7,TB,10,Tier 2,,Target
21,Chris Olave,WR,WR8,NO,8,Tier 2,,
22,Saquon Barkley,RB,RB8,PHI,10,Tier 1,,
23,Drake London,WR,WR9,ATL,11,Tier 2,"ATL QB is unresolved (Tua or Penix). Elite target share travels across QBs, but this is the risk in the profile",
24,A.J. Brown,WR,WR10,NE,11,Tier 2,"Alpha WRs keep their role on a team change at 58.7 percent in our WR study. Traded to NE June 1, reunites with Vrabel, Maye at QB",
25,Rome Odunze,WR,WR11,CHI,10,Tier 2,"Model WR12 vs consensus WR26. Year 3, Ben Johnson offense, Burden pushing from the slot. Efficiency profile supports the leap",Target
26,Baker Mayfield,QB,QB7,TB,10,Tier 1,,Target
27,Jeremiyah Love,RB,RB9,ARI,14,Tier 2,Rookie first rounder walking into the Arizona lead role,
28,Chase Brown,RB,RB10,CIN,6,Tier 2,,
29,Omarion Hampton,RB,RB11,LAC,7,Tier 2,,
30,Jayden Daniels,QB,QB8,WAS,7,Tier 1,"QB Cliff: college rushing is the one pre draft signal that survives, and rushing is the fantasy floor. Ranked over Burrow on floor",
31,Tetairoa McMillan,WR,WR12,CAR,5,Tier 2,,
32,George Pickens,WR,WR13,DAL,14,Tier 2,,
33,Nico Collins,WR,WR14,HOU,8,Tier 2,,
34,Tee Higgins,WR,WR15,CIN,6,Tier 3,,
35,Jadarian Price,RB,RB12,SEA,11,Tier 2,"Charbonnet opens on PUP, out at least 4 games. Price is the Seattle lead back out of the gate. 118.6 PFF elusive rating, 19 percent of college runs went 10 plus yards",
36,Bo Nix,QB,QB9,DEN,10,Tier 1,,Riser
37,Brock Bowers,TE,TE1,LV,13,Elite,Coming off the 2025 injury. Will play early but snaps may be monitored. Elite when right,
38,Justin Herbert,QB,QB10,LAC,7,Tier 1,,Faller
39,Travis Etienne,RB,RB13,NO,8,Tier 2,Signed with NO as the clear lead. Kamara is hurt and buried behind him,
40,Garrett Wilson,WR,WR16,NYJ,13,Tier 3,Model WR4 on target share and per target efficiency. Consensus has him WR14 to 18. Geno Smith is the best QB he has ever had. This is a delta we will take,
41,Brian Thomas Jr.,WR,WR17,JAX,7,Tier 3,"Down 2025 at 9.9 PPG. Talent says bounce, market already fled to WR35",Target
42,Caleb Williams,QB,QB11,CHI,10,Tier 1,,
43,Trey McBride,TE,TE2,ARI,14,Tier 1,,
44,Ladd McConkey,WR,WR18,LAC,7,Tier 3,,
45,Patrick Mahomes,QB,QB12,KC,5,Tier 2,,Faller
46,Breece Hall,RB,RB14,NYJ,13,Tier 2,,
47,De'Von Achane,RB,RB15,MIA,6,Tier 2,,
48,Zay Flowers,WR,WR19,BAL,13,Tier 3,,
49,Jaylen Waddle,WR,WR20,DEN,10,Tier 3,Traded to DEN for a package headlined by a first. Nix deep game fit,
50,Brock Purdy,QB,QB13,SF,8,Tier 2,,
51,Kenneth Walker III,RB,RB16,KC,5,Tier 2,Signed with KC. Andy Reid lead back with Pacheco gone to DET,
52,Javonte Williams,RB,RB17,DAL,14,Tier 2,,
53,Jaxson Dart,QB,QB14,NYG,8,Tier 2,"Rushing QB, highest projection outside the elite tier. Market has him QB16, we do not",
54,DJ Moore,WR,WR21,BUF,7,Tier 3,"Signed with BUF. Josh Allen bump is real, but our vacancy study says targets fill from inside first. Shakir and Coleman do not vanish",
55,TreVeyon Henderson,RB,RB18,NE,11,Tier 2,,
56,J.K. Dobbins,RB,RB19,DEN,10,Tier 2,,
57,Dak Prescott,QB,QB15,DAL,14,Tier 2,,
58,Luther Burden III,WR,WR22,CHI,10,Tier 3,,Riser
59,DeVonta Smith,WR,WR23,PHI,10,Tier 3,,
60,Kyren Williams,RB,RB20,LAR,11,Tier 2,,
61,Quinshon Judkins,RB,RB21,CLE,11,Tier 2,,
62,Tyler Shough,QB,QB16,NO,8,Tier 2,,
63,Malik Nabers,WR,WR24,NYG,8,Tier 3,"ACL recovery with a second procedure during rehab. Avoided PUP, expected Week 1, but build in a ramp",Injury
64,Parker Washington,WR,WR25,JAX,7,Tier 3,,Riser
65,D'Andre Swift,RB,RB22,CHI,10,Tier 3,,
